事業所名,区,所在地,営業時間,TEL,PCR検査等,抗原定性検査,備考
ＭＳＪ立川ＰＣＲ検査スポット,立川市,立川市曙町2-3-4,"月〜日（祝含む）　8:00〜19:00
無休",,True,False,※Eメールアドレスをお持ちでない方も検査が可能です。
ピカパカPCRクイック 検査センター 秋葉原駅前店,千代田区,千代田区神田松永町11AT第一ビル 4F,"月〜日（祝含む）　9:00〜17:00
無休",,True,True,
ピカパカＰＣＲクイック検査センター新橋店,港区,港区新橋1-17-1内田ビル1階,"月〜日（祝含む）　9:00〜17:00
無休",,True,True,
ピカパカＰＣＲクイック検査センター新宿店,新宿区,新宿区新宿3-23-1新宿ターミナルビル1階,"月〜日（祝含む）　9:00〜17:00
無休",,True,True,
ピカパカＰＣＲクイック検査センター渋谷店,渋谷区,渋谷区渋谷2-19-20宮益坂村瀬ビル1階,"月〜日（祝含む）　9:00〜17:00
無休",,True,True,
ピカパカPCR クイック検査センター 池袋駅前店（東口）,豊島区,豊島区東池袋１丁目６−４伊藤ビル8階,"月〜日（祝含む）　9:00〜17:00
無休",,True,True,
ピカパカPCRクイック 検査センター 巣鴨駅前店,豊島区,豊島区巣鴨1丁目8-7コスモ第一ビル1階,"月〜日（祝含む）　9:00〜17:00
無休",,True,True,
ピカパカＰＣＲクイック検査センター池袋店,豊島区,豊島区西池袋1-15-8三仲ビル2階,"月〜日（祝含む）　9:00〜17:00
無休",,True,True,
ウエルシア薬局千代田御茶ノ水店,千代田区,千代田区外神田2-2-15 ウエルシアビル1F,"月〜土　9:00〜14:00/15:00〜19:00
日　休み",03-5256-7631,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局千代田麹町店,千代田区,千代田区麹町3-4トラスティ麹町ビル1F,"月〜金　9:00〜19:00
土　10:00〜14:00
日　休み",03-3515-2437,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局神田小川町2号店,千代田区,千代田区神田小川町一丁目1番地,"月〜金　9:00〜14:00/15:00〜19:00
土　10:00〜14:00
日　休み",03-5280-9303,True,True,"※お問い合わせは上記番号からお願い致します。※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局神田小川町店,千代田区,千代田区神田小川町一丁目2番地,"月〜金　9:00〜2:00
土　9:00〜13:00/14:00〜19:00
日　11:00〜16:00",03-5289-3101,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局秋葉原駅前店,千代田区,千代田区外神田1-18-19 BiTO AKIBA 1階,"月〜日（祝含む）　9:00〜20:00
無休",03-3526-6125,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局日本橋１号店,中央区,中央区日本橋2-1-10,"月〜土　9:00〜20:00
日祝　10:00〜13:00/14:00〜19:00
無休",03-3516-1515,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局日本橋駅前店,中央区,中央区日本橋2丁目1番10号 柳屋ビル地下2階,"月〜金　9:00〜18:30
土　9:30〜14:00
日　休み",03-3271-2286,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局東京スクエアガーデン店,中央区,中央区京橋3-1-1,"月〜土　9:00〜19:00
日　休み",03-3242-0289,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局南麻布店,港区,港区南麻布五丁目1番11号 1F,"月〜土　9:00〜14:00/15:00〜19:00
日　休み",03-5793-1250,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局麻布十番店,港区,港区麻布十番2-9-2,"月〜土　9:00〜20:00
日　9:00〜13:00
無休",03-5439-5237,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局O-GUARD新宿店,新宿区,新宿区西新宿7丁目10番1号,"月〜日（祝含む）　9:00〜20:00
無休",03-5337-8015,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局新宿大久保一丁目店,新宿区,新宿区大久保一丁目3番21号,"月〜土　10:00〜14:00/15:00〜19:00
日　休み",03-6457-6968,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局新宿牛込店,新宿区,新宿区北山伏町1番2号,"月〜土　9:00〜19:00
日　10:00〜14:00/15:00〜18:00
無休",03-5229-6770,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局新宿目白店,新宿区,新宿区下落合3-12-28,"月〜土　10:00〜14:00/15:00〜19:00
日　休み",03-5988-7612,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局西新宿三井ビル店,新宿区,新宿区西新宿六丁目24番1号,"月〜金　9:00〜19:00
土　 9:00〜16:00
日　休み",03-5909-7665,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局文京グリーンコート店,文京区,文京区本駒込2-28-10 イーストウイングB1F,"月〜土　9:00〜20:00
日祝　10:00〜19:00
無休",03-5976-4189,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局茗荷谷駅前店,文京区,文京区小日向4-6-18アマーレ茗荷谷1・2F,"月〜土　9:00〜20:00 
日　9:00〜13:00/14:00〜18:00",03-3944-9651,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア台東入谷調剤薬局,台東区,台東区北上野2-30-7 ファイン北上野,"月〜金　9:00〜19:00
土　10:00〜13:30/14:30〜17:00
日　休み",03-5830-8012,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局墨田八広店,墨田区,墨田区八広1-30-10,"月〜土　9:00〜20:00
日　休み",03-5631-5525,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局ダイエー東大島店,江東区,江東区大島7-38-30,"月〜土　9:00〜19:00
日　休み",03-5609-7048,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局江東平野店,江東区,江東区平野3-7-19,"月〜金　9:00〜20:00
土　9:00〜18:00
日　休み",03-5639-1223,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局目黒上大崎店,品川区,品川区上大崎2-13-32富田ビル,"月〜金　9:00〜19:00
土　9:00〜19:00
日祝　10:00〜19:00",03-3442-0221,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局上目黒２丁目店,目黒区,目黒区上目黒2-42-8 ホーライコーポ,"月〜金　9:00〜14:00/15:00〜19:00
土　10:00〜14:00
日　休み",03-5773-5651,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局目黒青葉台店,目黒区,目黒区青葉台一丁目29番6号 ライオンズマンション中目黒 1階,"月〜土　9:00〜13:30/14:30〜19:00
日　9:00〜14:30",03-5720-8365,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局自由が丘店,目黒区,目黒区自由が丘2-9-5 大坪ビル,"月〜土　9:00〜20:00
日祝　9:00〜19:00",03-5701-7589,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局久が原駅前店,大田区,大田区東嶺町30番12号 久が原ビル 1階,"月〜土　9:00〜13:30/14:30〜19:00
日　休み",03-5732-1250,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局大田上池台店,大田区,大田区上池台四丁目21番7号,"月〜金　9:00〜20:00
土　9:00〜19:00
日　9:00〜13:00/14:00〜18:00",03-5754-2512,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局大田大森西店,大田区,大田区大森西五丁目25番21号,"月〜土　9:00〜14:00/15:00〜19:00
日　休み",03-5767-0675,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局大田萩中2号店,大田区,大田区萩中三丁目14番20号 1階,"月〜土　9:00〜14:00/15:00〜19:00
日　休み",03-5735-5503,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局大田萩中店,大田区,大田区萩中1-7-1,"月〜日（祝含む）　9:00〜20:00
無休",03-5735-1985,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局大田西六郷店,大田区,大田区西六郷4-36-8,"月〜土　9:00〜19:30
日　休み",03-5713-0972,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局世田谷千歳台二丁目店,世田谷区,世田谷区千歳台二丁目14番8号,"月〜土　9:00〜20:00
日　休み",03-5490-7008,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局世田谷千歳台店,世田谷区,世田谷区千歳台5-16-18,"月〜日（祝含む）　9:00〜20:00
無休",03-5429-1292,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局世田谷砧店,世田谷区,世田谷区砧2-14-30 サミットストア環八通り店2F,"月〜金　9:00〜19:00
土　9:00〜13:00
日　休み",03-5727-0389,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局マンサード代官山店,渋谷区,渋谷区猿楽町10-1 マンサード代官山1階,"月〜金　9:00〜20:00
土日祝　9:00〜18:00
無休",03-5784-6323,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局代々木三丁目店,渋谷区,渋谷区代々木三丁目37番5号,"月〜土　9:00〜20:00
日　休み",03-5308-1260,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局代官山ディセ店,渋谷区,渋谷区代官山町17-6 代官山アドレス・ディセ1F,"月火水金　 9:00〜20:00
木　10:00〜20:00
日祝　9:30〜20:00",03-5728-1189,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア中野さぎの宮調剤薬局,中野区,中野区鷺宮3-19-7 田中ビル1階2階,"月〜金　9:00〜14:00/15:00〜19:00
土　9:00〜14:00
日　休み",03-5356-0280,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局中野富士見町駅前店,中野区,中野区弥生町5-26-9,"月〜金　9:00〜19:00
土　9:00〜13:00
日　休み",03-5341-3989,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局中野新橋店,中野区,中野区弥生町2-4-9ツナシマ第三ビル1F・B1,"月〜金　9:00〜14:00/15:00〜19:00
土　9:00〜13:00
日　休み",03-5333-0933,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局中野都立家政店,中野区,中野区鷺ノ宮1-28-9モンフレール1F,"月〜金　9:00〜19:00
土　9:00〜15:00
日　休み",03-5327-6856,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局杉並松ノ木店,杉並区,杉並区松ノ木2-41-7,"月〜土　9:00〜20:00
日祝　10:00〜13:00/14:00〜19:00
無休",03-5929-3770,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局杉並阿佐谷南店,杉並区,杉並区阿佐谷南二丁目41番1号,"月〜土　10:00〜13:30/14:30〜20:00
日　休み",03-5356-0694,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局永福店,杉並区,杉並区永福4-1-4,"月〜土　9:00〜19:00
日　休み",03-3322-0858,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局西永福店,杉並区,杉並区永福3-55-4 戸谷ビル,"月〜土　9:00〜19:00
日　休み",03-5376-2488,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局池袋店,豊島区,豊島区南池袋1-28-2 JR東日本池袋駅構内B1F,"月〜日（祝含む）　9:00〜20:00
無休",03-5956-8089,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局浮間店,北区,北区浮間2-12-24,"月〜日（祝含む）　9:00〜20:00
無休",03-5916-0511,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局田端２丁目店,北区,北区田端2-3-12 サントル動坂1F,"月〜土　9:00〜13:30/14:30〜19:00
日　休み",03-5832-8701,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局西が丘店,北区,北区西が丘1-5-11 ハイツトーワ101,"月〜金　9:00〜18:30 
土　9:00〜13:00
日　休み",03-5963-6330,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局赤羽台店,北区,北区赤羽台1-5-18,"月〜金　9:00〜20:00
土　9:00〜19:00
日　10:00〜13:00/14:00〜19:00
無休",03-5963-5061,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局三ノ輪橋駅前店,荒川区,荒川区南千住1-13-22 三ノ輪橋駅前ビル,"月〜土　9:00〜19:00
日　休み",03-5615-1253,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局板橋下板橋店,板橋区,板橋区板橋1-6-5 ヒルサイドビル,"月〜土　9:00〜14:00/15:00〜19:00
日　休み",03-3579-8833,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局板橋四葉店,板橋区,板橋区四葉2-10-1,"月〜土　9:00〜13:30/14:30〜19:00
日　休み",03-5968-3950,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局板橋徳丸店,板橋区,板橋区徳丸6-3-2,"月〜土　9:00〜13:30/14:30〜19:00
日　休み",03-5945-9561,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局板橋志村店,板橋区,板橋区志村1-3-1,"月〜土　9:00〜20:00
日　休み",03-5914-4755,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局板橋新高島平店,板橋区,板橋区高島平7-13-4,"月〜土　9:00〜14:00/15:00〜19:00
日　休み",03-5968-3571,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局板橋浮間舟渡店,板橋区,板橋区舟渡1-13-23レジデンスBS,"月〜土　9:00〜14:00/15:00〜19:00
日　9:00〜14:00/15:00〜18:00
無休",03-5914-6288,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局板橋赤塚店,板橋区,板橋区赤塚6-1-26,"月〜日　9:00〜20:00
無休",03-5904-7800,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局練馬三原台店,練馬区,練馬区三原台3-8-3メゾンド下屋敷,"月〜土　10:00〜14:00/15:00〜19:00
日　休み",03-5387-7021,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局練馬上石神井店,練馬区,練馬区上石神井1-5-10 コンフォートビル,"月〜日　10:00〜14:00/15:00〜19:00
無休",03-3594-3011,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局練馬下石神井店,練馬区,練馬区下石神井5-16-13,"月〜土　9:00〜14:00/15:00〜19:00
日　休み",03-5910-7823,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
ウエルシア薬局練馬南大泉店,練馬区,練馬区南大泉5-20-28,"月〜金　9:00〜19:00
土　9:00〜13:00
日　休み",03-5947-5589,True,True,"※お問い合わせは上記番号からお願い致します。
※予約受付はホームページ(https://www.welcia-yakkyoku.co.jp/）もしくは各店舗窓口にて可能。なお、電話予約は不可。
抗原検査のみメールアドレスなしで受検可能"
