追加・変更,市町村,事業所名称,所在地,連絡先（TEL）,無料検査開始日,検査対応曜日・時間,pcr,antigen,備　考（注意事項等）
,富山市,ウエルシア薬局富山呉羽店,富山市茶屋町614-12 ,076-434-1471,2021-12-24,"月～土：9:00-19:00
祝日及び12/31、1/3休業",True,True,"ドライブスルー方式で検査を実施します。
PCR検査を受検される場合、申込時にメールアドレスが必須となります。
抗原定性検査キットの入荷状況により検査数の制限がある場合がございますのでご了承ください。
ウエルシア薬局のHPより検査の予約ができるようになりました。（https://www.welcia-yakkyoku.co.jp/）2月14日(月)より開始予定です。"
,富山市,ウエルシア薬局富山上飯野店,富山市上飯野道下2-7 ,076-471-6771,2021-12-24,"月～土：9:00-14:00
　　　　15:00-19:00
祝日及び12/31、1/3休業",True,True,"ドライブスルー方式で検査を実施します。
PCR検査を受検される場合、申込時にメールアドレスが必須となります。
抗原定性検査キットの入荷状況により検査数の制限がある場合がございますのでご了承ください。
ウエルシア薬局のHPより検査の予約ができるようになりました。（https://www.welcia-yakkyoku.co.jp/）2月14日(月)より開始予定です。"
,富山市,ウエルシア薬局富山赤田店,富山市赤田790-1,076-425-1511,2021-12-24,"月～土：9:00-14:00
　　　　15:00-19:00
祝日及び1/3休業",True,True,"PCR検査を受検される場合、申込時にメールアドレスが必須となります。
抗原定性検査キットの入荷状況により検査数の制限がある場合がございますのでご了承ください。
ウエルシア薬局のHPより検査の予約ができるようになりました。（https://www.welcia-yakkyoku.co.jp/）2月14日(月)より開始予定です。"
,富山市,ウエルシア薬局富山大泉店,富山市大泉町2-2-1 ,076-420-3878,2021-12-24,"月～土：9:00-19:00
祝日及び1/3休業",True,True,"ドライブスルー方式で検査を実施します。
PCR検査を受検される場合、申込時にメールアドレスが必須となります。
抗原定性検査キットの入荷状況により検査数の制限がある場合がございますのでご了承ください。
ウエルシア薬局のHPより検査の予約ができるようになりました。（https://www.welcia-yakkyoku.co.jp/）2月14日(月)より開始予定です。"
,富山市,ウエルシア薬局富山中川原店,富山市中川原383-1 ,076-494-1822,2021-12-24,"月～金：9:00-14:00
　　　　15:00-18:00
祝日及び12/31、1/3休業",True,True,"PCR検査を受検される場合、申込時にメールアドレスが必須となります。
抗原定性検査キットの入荷状況により検査数の制限がある場合がございますのでご了承ください。
ウエルシア薬局のHPより検査の予約ができるようになりました。（https://www.welcia-yakkyoku.co.jp/）2月14日(月)より開始予定です。"
,富山市,ウエルシア薬局富山天正寺店,富山市天正寺1105 ,076-461-6880,2021-12-24,"月～金　：9:00-20:00
土　　　：9:00-19:00
日・祝日：9:00-14:00
　　　　　15:00-19:00
1/1休業",True,True,"PCR検査を受検される場合、申込時にメールアドレスが必須となります。
抗原定性検査キットの入荷状況により検査数の制限がある場合がございますのでご了承ください。
ウエルシア薬局のHPより検査の予約ができるようになりました。（https://www.welcia-yakkyoku.co.jp/）2月14日(月)より開始予定です。"
,富山市,ウエルシア薬局富山八尾店,富山市八尾町井田5549 ,076-455-3781,2021-12-24,"月～土：9:00-19:00
祝日及び1/3休業",True,True,"ドライブスルー方式で検査を実施します。
PCR検査を受検される場合、申込時にメールアドレスが必須となります。
抗原定性検査キットの入荷状況により検査数の制限がある場合がございますのでご了承ください。
ウエルシア薬局のHPより検査の予約ができるようになりました。（https://www.welcia-yakkyoku.co.jp/）2月14日(月)より開始予定です。"
,富山市,ウエルシア薬局富山本郷店,富山市本郷町49-1,076-420-0351,2021-12-24,"月～金：9:00-14:00
　　　：15:00-19:00
土　　：9:00-13:00
祝日及び12/31、1/3休業",True,True,"PCR検査を受検される場合、申込時にメールアドレスが必須となります。
抗原定性検査キットの入荷状況により検査数の制限がある場合がございますのでご了承ください。
ウエルシア薬局のHPより検査の予約ができるようになりました。（https://www.welcia-yakkyoku.co.jp/）2月14日(月)より開始予定です。"
,富山市,ウエルシア調剤薬局大沢野店,富山市上大久保牛ヶ花割1586-3 ,076-468-0261,2021-12-24,"月～土：9:00-19:00
祝日及び12/31、1/3休業",True,True,"PCR検査を受検される場合、申込時にメールアドレスが必須となります。
抗原定性検査キットの入荷状況により検査数の制限がある場合がございますのでご了承ください。
ウエルシア薬局のHPより検査の予約ができるようになりました。（https://www.welcia-yakkyoku.co.jp/）2月14日(月)より開始予定です。"
,富山市,鵜坂わだ薬局,富山市婦中町分田76-1,076-482-6414,2022-04-25,"月～水、金：15:00～18:00
木：15:00～17:00　土：10:00～13：00
日曜・祝日・お盆(8/13～8/16)・年末年始(12/30～1/3)休み",False,True,ドライブスルー方式で実施します。混みあっている場合がございますので、検査希望の１時間前までにご連絡をいただくことを推奨しております。
,富山市,奥田かがやき薬局,富山市奥田寿町字中狭９番43,076-471-8835,2022-06-01,"月～金：9:00-18:30
土　　：9:00-12:30
日、祝日休業",False,True,ドライブスルー方式で実施します。事前に電話でご連絡ください。
,富山市,上飯野かがやき薬局,富山市小西116-4,076-452-2595,2022-06-01,"月～水、金：9:00-18:00
木　　　　：9:00-17:00
土　　　　：9:00-13:00
日、祝日休業",False,True,ドライブスルー方式で実施します。事前に電話でご連絡ください。
,富山市,きときと薬局布瀬店,富山市布瀬町南1丁目3-1,076-482-5368,2022-01-17,"月、火、木、金：10:00-18:00
水、土　　　　：10:00-13:00
祝日休業",True,True,"ドライブスルー方式で実施します。
混み合っている場合がありますので、検査希望時間の１時間前までに電話でご連絡のうえ、お越しください。"
,富山市,木下グループコロナ検査センター電鉄富山駅前店,富山市桜町１丁目11　電鉄富山駅ビル１階,03-4333-1640,2021-12-25,年中無休：8:00-20:00,True,True,PCR検査を受検される場合、申込時にメールアドレスが必須となります。
,富山市,共創未来　高田薬局,富山市高田63-１,076-461-6036,2022-06-01,"月～金：9:00-18:00
（土、日、祝不可）",True,True,"ドライブスルー方式で実施します。利用される方は必ず事前にご連絡下さい。（076-461-6036）ご連絡がない場合は実施できない場合がございます。
また実施希望される方は感染予防の観点から薬局内に立ち入らないようにお願いします。
薬局内が混み合っていることがございます。すぐに検査実施が出来ないことがありますので車の中で待機して頂くこともありますのでご了承下さい。"
,富山市,クスリのアオキ下奥井薬局,富山市下奥井一丁目1番26号,076-433-0877,2022-01-17,月～日：9:00-22:00,True,True,"PCR検査を受検される場合、申込時にメールアドレスが必須となります。
PCR検査は原則オンラインによる立合い。
月～金　9:00-19:00　土　9:00-13:00（薬局　076-433-0877）
上記以外の時間帯（店舗　076-433-0850）
よくあるご質問はクスリのアオキHPにてご確認をお願い致します。"
,富山市,クスリのアオキ下大久保薬局,富山市下大久保1095番地1,076-461-5723,2022-01-17,月～日：9:00-22:00,True,True,"PCR検査を受検される場合、申込時にメールアドレスが必須となります。
PCR検査は原則オンラインによる立合い。
月～金　9:00-18:00　土　9:00-13:00（薬局　076-461-5723）
上記以外の時間帯（店舗　076-461-3612）
よくあるご質問はクスリのアオキHPにてご確認をお願い致します。"
,富山市,クスリのアオキ下飯野薬局,富山市下飯野23番地,076-411-9070,2022-01-17,月～日：9:00-22:00,True,True,"PCR検査を受検される場合、申込時にメールアドレスが必須となります。
PCR検査は原則オンラインによる立合い。
月～金　9:00-18:00（薬局　076-411-9070）
上記以外の時間帯（店舗　076-411-9110）
よくあるご質問はクスリのアオキHPにてご確認をお願い致します。"
,富山市,クスリのアオキ岩瀬東薬局,富山市中田一丁目2番30号,076-438-7150,2022-01-17,月～日：9:00-22:00,True,True,"PCR検査を受検される場合、申込時にメールアドレスが必須となります。
PCR検査は原則オンラインによる立合い。
月～金　9:00-19:00　土　9:00-13:00（薬局　076-438-7150）
上記以外の時間帯（店舗　076-438-7181）
よくあるご質問はクスリのアオキHPにてご確認をお願い致します。"
,富山市,クスリのアオキ経堂薬局,富山市経堂三丁目7番22号,076-482-6115,2022-01-17,月～日：9:00-22:00,True,True,"PCR検査を受検される場合、申込時にメールアドレスが必須となります。
PCR検査は原則オンラインによる立合い。
月～金　9:00-19:00　土　9:00-13:00（薬局　076-482-6115）
上記以外の時間帯（店舗　076-482-4357）
よくあるご質問はクスリのアオキHPにてご確認をお願い致します。"
,富山市,クスリのアオキ五福薬局,富山市五福5720番地2,076-407-5031,2022-01-17,月～日：9:00-22:00,True,True,"PCR検査を受検される場合、申込時にメールアドレスが必須となります。
PCR検査は原則オンラインによる立合い。
月～金　9:00-18:00（薬局　076-407-5031）
上記以外の時間帯（店舗　076-464-6127）
よくあるご質問はクスリのアオキHPにてご確認をお願い致します。"
,富山市,クスリのアオキ呉羽薬局,富山市呉羽町字草田2474番,076-427-0807,2022-01-17,月～日：9:00-0:00,True,True,"PCR検査を受検される場合、申込時にメールアドレスが必須となります。
PCR検査は原則オンラインによる立合い。
月～金　9:00-19:00　土　9:00-13:00（薬局　076-427-0807）
上記以外の時間帯（店舗　076-427-0801）
よくあるご質問はクスリのアオキHPにてご確認をお願い致します。"
,富山市,クスリのアオキ向新庄薬局,富山市向新庄町二丁目2番40号,076-482-3708,2022-01-17,月～日：9:00-22:00,True,True,"PCR検査を受検される場合、申込時にメールアドレスが必須となります。
PCR検査は原則オンラインによる立合い。
月～金　9:00-18:00（薬局　076-482-3708）
上記以外の時間帯（店舗　076-451-3838）
よくあるご質問はクスリのアオキHPにてご確認をお願い致します。"
,富山市,クスリのアオキ根塚薬局,富山市根塚町3丁目10番5号,076-492-1323,2022-01-17,月～日：9:00-0:00,True,True,"PCR検査を受検される場合、申込時にメールアドレスが必須となります。
PCR検査は原則オンラインによる立合い。
月～金　9:00-19:00　土　9:00-18:00（薬局　076-492-1323）
上記以外の時間帯（店舗　076-492-1110）
よくあるご質問はクスリのアオキHPにてご確認をお願い致します。"
,富山市,クスリのアオキ山室薬局,富山市山室226番地5,076-464-5332,2022-01-17,月～日：9:00-22:00,True,True,"PCR検査を受検される場合、申込時にメールアドレスが必須となります。
PCR検査は原則オンラインによる立合い。
月～金　9:00-19:00　土　9:00-13:00（薬局　076-464-5332）
上記以外の時間帯（店舗　076-464-5333）
よくあるご質問はクスリのアオキHPにてご確認をお願い致します。"
,富山市,クスリのアオキ上飯野薬局,富山市鶴ケ丘町1番1,076-452-0831,2022-01-17,月～日：9:00-22:00,True,True,"PCR検査を受検される場合、申込時にメールアドレスが必須となります。
PCR検査は原則オンラインによる立合い。
月～金　9:00-19:00　土　9:00-13:00（薬局　076-452-0831）
上記以外の時間帯（店舗　076-452-0811）
よくあるご質問はクスリのアオキHPにてご確認をお願い致します。"
,富山市,クスリのアオキ西長江薬局,富山市西長江四丁目1番47号,076-492-2501,2022-01-17,月～日：9:00-22:00,True,True,"PCR検査を受検される場合、申込時にメールアドレスが必須となります。
PCR検査は原則オンラインによる立合い。
月～金　9:00-18:00　土　9:00-13:00（薬局　076-492-2501）
上記以外の時間帯（店舗　076-492-2500）
よくあるご質問はクスリのアオキHPにてご確認をお願い致します。"
,富山市,クスリのアオキ大沢野薬局,富山市上大久保1050番地1,076-468-8688,2022-01-17,月～日：9:00-21:00,True,True,"PCR検査を受検される場合、申込時にメールアドレスが必須となります。
PCR検査は原則オンラインによる立合い。
月～金　9:00-19:00　土　9:00-18:00（薬局　076-468-8688）
上記以外の時間帯（店舗　076-468-8686）
よくあるご質問はクスリのアオキHPにてご確認をお願い致します。"
,富山市,クスリのアオキ藤木薬局,富山市藤木1870番地1,076-424-6616,2022-01-17,月～日：9:00-22:00,True,True,"PCR検査を受検される場合、申込時にメールアドレスが必須となります。
PCR検査は原則オンラインによる立合い。
月～金　9:00-19:00　土　9:00-13:00（薬局　076-424-6616）
上記以外の時間帯（店舗　076-424-6667）
よくあるご質問はクスリのアオキHPにてご確認をお願い致します。"
,富山市,クスリのアオキ八尾薬局,富山市八尾町井田577番地,076-455-9224,2022-01-17,月～日：9:00-21:00,True,True,"PCR検査を受検される場合、申込時にメールアドレスが必須となります。
PCR検査は原則オンラインによる立合い。
月～金　9:00-19:00　土　9:00-18:00（薬局　076-455-9224）
上記以外の時間帯（店舗　076-455-9200）
よくあるご質問はクスリのアオキHPにてご確認をお願い致します。"
,富山市,クスリのアオキ婦中薬局,富山市婦中町宮ケ島315番地,076-466-0817,2022-01-17,月～日：9:00-22:00,True,True,"PCR検査を受検される場合、申込時にメールアドレスが必須となります。
PCR検査は原則オンラインによる立合い。
月～金　9:00-19:00　土　9:00-13:00（薬局　076-466-0817）
上記以外の時間帯（店舗　076-466-0833）
よくあるご質問はクスリのアオキHPにてご確認をお願い致します。"
,富山市,クスリのアオキ富山県立中央病院前薬局,富山市西長江三丁目1番5号,076-422-3433,2022-01-17,"月～金：9:00-18:00
土、日、祝日休業",True,True,"PCR検査を受検される場合、申込時にメールアドレスが必須となります。
PCR検査は原則オンラインによる立合い。"
,富山市,クスリのアオキ富山新庄薬局,富山市新庄町三丁目6番51号,076-411-5611,2022-01-17,月～日：9:00-22:00,True,True,"PCR検査を受検される場合、申込時にメールアドレスが必須となります。
PCR検査は原則オンラインによる立合い。
月～金　9:00-18:00　土　9:00-13:00（薬局　076-411-5611）
上記以外の時間帯（店舗　076-471-5810）
よくあるご質問はクスリのアオキHPにてご確認をお願い致します。"
,富山市,クスリのアオキ堀川薬局,富山市堀川本郷15番12,076-494-1022,2022-01-17,月～日：9:00-22:00,True,True,"PCR検査を受検される場合、申込時にメールアドレスが必須となります。
PCR検査は原則オンラインによる立合い。
月～金　9:00-18:00　土　9:00-13:00（薬局　076-494-1022）
上記以外の時間帯（店舗　076-494-1030）
よくあるご質問はクスリのアオキHPにてご確認をお願い致します。"
,富山市,クスリのアオキ本郷薬局,富山市本郷町360番地1,076-461-5415,2022-01-17,月～日：9:00-21:00,True,True,"PCR検査を受検される場合、申込時にメールアドレスが必須となります。
PCR検査は原則オンラインによる立合い。
月～金　9:00-18:00（薬局　076-461-5415）
上記以外の時間帯（店舗　076-420-0701）
よくあるご質問はクスリのアオキHPにてご確認をお願い致します。"
,富山市,蔵薬局,富山市上千俵町562-2,076-428-9696,2022-01-06,"月～土：14:00-18:00
祝日休業",False,True,"検査キット、人員確保の為、検査希望時間の１時間前には電話でご確認をお願いします。
日、祝日は休みですが、事前に電話で確認いただければ時間調整いたします。"
,富山市,グリーン今泉薬局,富山市今泉302-1,076-420-1101,2022-01-11,"月～金：9:00-18:00 
土　　：8:00-12:00
祝日休業　 12/29～1/3は休業",False,True,ドライブスルー方式で実施します。混みあっている場合がありますので、来局前にご連絡いただくことを推奨しております。
,富山市,五福薬局,富山市高田119番1,076-491-5298,2021-12-24,"平日　：14:00-19:30
土日祝：8:30-17:30
1/1、3/21、8/15休業",True,True,"薬局内で検査する方法とドライブスルー方式のどちらもあります。
在庫の関係がありますので、来局前にご連絡いただくことを推奨しております。"
追加,富山市,さくらガーデン薬局,富山市下新本町３番５号,076-464-6164,2022-06-10,"月～金：13:00-15:00
年末年始（12/29～1/3）は営業しません",True,False,"ドライブスルー方式で検査を実施します。
PCR検査を受検される場合、申込時にメールアドレスが必須となります。
利用される方は必ず事前にご連絡ください。（076-464-6164）ご連絡がない場合は実施できない場合がございます。
また実施を希望される方は感染予防の観点から薬局内に立ち入らないようにお願いします。
すぐに検査実施が出来ないことがあります。その際は車の中で待機していただきますのでご了承ください。"
,富山市,新型コロナ検査センター　グリーンモール山室店,富山市山室226-2　グリーンモール山室駐車場内,076-443-6545,2022-02-01,年中無休：10:00～19:00,True,True,"下記HPより検査の予約ができるようになりました。
（https://reserva.be/abanalyzer0014/）"
,富山市,"新型コロナ検査センター
富山桜木町店",富山市桜木町12番5号桜木プラザビル３階,076-482-3920,2022-02-01,年中無休：24時間営業,True,True,
,富山市,高屋敷PCRセンター,富山市高屋敷833-1,076-492-2010,2022-06-01,"月～土：10:00-12:00
　　　　13:00-16:00",False,True,
,富山市,高屋敷はなの木薬局,富山市高屋敷65番地３,076-464-3933,2022-01-11,"月～金：9:00-18:00
祝日休業",True,True,ドライブスルー方式で実施します。混みあっている場合がありますので、来局前にご連絡いただくことを推奨しております。
,富山市,千原崎PCRセンター,富山市千原崎2-2-2,0120-20-7733,2022-06-01,"月～土：10:00-12:00
　　　　13:00-16:00",False,True,
,富山市,チューリップ城川原北店,富山市城川原2丁目20-1,076-437-2562,2022-02-07,"月～金：12:00-15:00
土、日、祝日は非対応",True,True,混みあっている場合がありますので、来局前にご連絡いただくことを推奨しております。
,富山市,チューリップ水橋薬局,富山市水橋辻ヶ堂1275-169,076-479-6033,2022-02-07,"月～金：12:00-15:00
土、日、祝日は非対応",True,True,混みあっている場合がありますので、来局前にご連絡いただくことを推奨しております。
,富山市,つきおかつばさ薬局,富山市月岡町4-701-2,076-428-8232,2021-12-22,"月～水、金：13:00-18:30
木　　　　：13:00-14:00
土　　　　：13:00-17:30
祝日及び12/31～1/3休業",False,True,混みあっている場合がありますので、来局前にご連絡をいただくことを推奨しております。
,富山市,富南薬局,富山県富山市悪王寺43-2,076-464-5781,2022-04-25,"月・火・木・金：13:30～15:00
水　　　　　　：13:30～17:00
土曜日は検査受付なし
日曜日・祝日・年末年始は休業日",False,True,ドライブスルー方式で行います。来局前にお電話をお願いします。
,富山市,富山市医師会健康管理センター,富山市経堂4-1-36,090-5689-0526,2021-12-22,"月～金：14:00-14:30
祝日及び12/31～1/3は休業",True,False,ドライブスルー方式で検査を実施します。駐車場の指定等がございますので、事前にご連絡をお願いします。
,富山市,とやま調剤藤の木店,富山市藤の木園町148,076-492-5651,2022-02-18,"月・火・水・金：9:00～18:30
木：9:00～17:00
土：9:00～13:00
日曜日は受付不可",False,True,
,富山市,とやま調剤薬局大町店,富山市大町1-6,076-461-5570,2022-03-01,月～金：9:00-18:00,False,True,ドライブスルー方式で実施します。
,富山市,豊田PCRセンター,富山市豊田本町2-4-16,076-411-9530,2022-06-01,"月～土：10:00-12:00
　　　　13:00-16:00",False,True,
追加,富山市,ながえ薬局,富山市長江１丁目５番17号,076-461-4037,2022-06-10,"月、火、木、金：13:00-15:00
水　　　　　　：14:00-16:00
年末年始（12/29～1/3）は営業しません",True,False,"ドライブスルー方式で検査を実施します。
PCR検査を受検される場合、申込時にメールアドレスが必須となります。
利用される方は必ず事前にご連絡ください。（076-461-4037）ご連絡がない場合は実施できない場合がございます。
また実施を希望される方は感染予防の観点から薬局内に立ち入らないようにお願いします。
すぐに検査実施が出来ないことがあります。その際は車の中で待機していただきますのでご了承ください。"
,富山市,西尾薬局下堀店,富山市下堀9-1,076-494-1181,2022-04-28,月、火、水、金：13:00-14:00,True,True,
,富山市,西尾薬局富崎店,富山市婦中町富崎1017-3,076-461-7161,2022-04-28,月、火、木、金：13:00-14:00,True,True,PCR検査検査の受付は月、火のみとなります。
,富山市,西尾薬局婦中店,富山市婦中町板倉462-3,076-466-6388,2021-12-22,"月～水、金：9:00-18:30
木　　　　：9:00-17:00
土　　　　：9:00-14:00
12/30～1/3休業",True,True,時間帯によって、混雑することが予測されます。検査を希望される方は、検査をスムーズに実施するため事前にお電話いただくことをおすすめします。
,富山市,はなの木薬局アピタ富山店,富山市上袋100　アピタ富山店１階,076-495-3210,2021-12-22,年中無休：10:00-18:00,True,True,
,富山市,はやほし調剤薬局,富山市婦中町速星807-1,076-466-1311,2022-02-28,月～金：13:00-17:00,False,True,ドライブスルー方式で実施します。
,富山市,ひかり薬局秋吉店,富山市秋吉112番地3,076-464-3226,2022-04-25,"月・火・木：13:00-14:00
祝日休業",True,True,"ドライブスルー方式で実施します。
申込時にメールアドレスが必須となります。
混みあっている場合がありますので、来局前にご連絡いただくことを推奨しております。"
,富山市,ひかり薬局堀川店,富山市東中野町三丁目5番19号,076-482-6560,2022-04-25,火・水・木：12:00～13:00　　祝日休業,True,True,"ドライブスルー方式で実施します。
申込時にメールアドレスが必須となります。
混みあっている場合がありますので、来局前にご連絡いただくことを推奨しております。"
,富山市,ひばり薬局,富山市稲荷元町2-2-9　ペルレ平安１F,076-405-0805,2021-12-22,"・PCR検査
月、火、水、金：10:00-16:30
木、土　　　　：10:00-13:30
・抗原定性検査
月～水、金：10:00-18:30
木、土　　：10:00-13:30
・祝日及び12/30～1/3休業",True,True,PCR検査はドライブスルー方式で実施します。
,富山市,藤の木PCRセンター,富山市開767-2,076-461-7870,2022-06-01,"月～土：10:00-12:00
　　　　13:00-16:00",False,True,
,富山市,フジムラ薬局,富山市上大久保1893番地１,076-468-9321,2022-05-18,"【PCR検査】
月～木：10:00-12:00
　　　　14:00-15:00
【抗原定性検査】
月～金：14:00-17:00",True,True,"ドライブスルー方式で実施します。
スムーズに対応させていただくため、来局前にご連絡をいただくことを推奨しております。
当日の来局、お問い合わせの場合、在庫の関係で検査できない場合があります。"
,富山市,フジムラ薬局キャロット１店,富山市下大久保2513番地１,076-467-5513,2022-05-23,"【PCR検査】
月～木：10:00-12:00
　　　　14:00-15:00
【抗原定性検査】
月～金：14:00-18:00",True,True,"ドライブスルー方式で実施します。
スムーズに対応させていただくため、来局前にご連絡をいただくことを推奨しております。
当日の来局、お問い合わせの場合、在庫の関係で検査できない場合があります。"
,富山市,婦中PCRセンター,富山市婦中町下轡田351-3,076-466-3370,2022-06-01,"月～土：10:00-12:00
　　　　13:00-16:00",False,True,
,富山市,ふれあい豊田薬局,富山市豊田町1-1-7,076-443-9025,2022-01-25,月～金：14:00～17:00,True,False,ドライブスルー方式で実施します。
,富山市,ふれあい水橋薬局,富山市水橋舘町59-8,076-479-9062,2022-04-25,"月～金：14:00～17:00
休業日：日・祝　12/29-1/3",True,False,ドライブスルー方式で実施します。
,富山市,ふれあい薬局千石町店,富山市千石町2丁目8-1,076-422-3751,2022-04-25,"月～金：14:00～17:00
休業日：日・祝　12/29-1/3",True,False,ドライブスルー方式で実施します。
,富山市,堀川町PCRセンター,富山市堀川町273-3,076-411-5710,2022-06-01,"月～土：10:00-12:00
　　　　13:00-16:00",False,True,
追加,富山市,ほりかわ薬局,富山市堀川本郷160番71,076-461-4767,2022-06-10,"月～水、金：13:00-15:00
木　　　　：14:00-16:00
年末年始（12/29～1/3）は営業しません",True,False,"ドライブスルー方式で検査を実施します。
PCR検査を受検される場合、申込時にメールアドレスが必須となります。
利用される方は必ず事前にご連絡ください。（076-461-4767）ご連絡がない場合は実施できない場合がございます。
また実施を希望される方は感染予防の観点から薬局内に立ち入らないようにお願いします。
すぐに検査実施が出来ないことがあります。その際は車の中で待機していただきますのでご了承ください。"
,富山市,本郷はなの木薬局,富山市本郷町3区198-3,076-495-8366,2022-01-11,"月、火、木、金：9:00-18:00
水　　　　　　：9:00-17:00
土　　　　　　：9:00-13:00
定休日　日・祝祭日",True,True,ドライブスルー方式で実施します。混みあっている場合がありますので、来局前にご連絡いただくことを推奨しております。
,富山市,ほんごう薬局,富山市本郷町130-12,197-493-6067,2022-02-14,"平日：9:00～18:30
土　：9:00～15:00
日、祝日休業",True,True,ドライブスルー方式又は車中に出向いて行います。
,富山市,南ヶ丘グリーン薬局,富山市月岡町6丁目48-2,076-428-5740,2022-01-11,"月～金：13:00-15:00
祝日休業",False,True,ドライブスルー方式で実施します。混みあっている場合がありますので、来局前にご連絡いただくことを推奨しております。
