NO,市町村,事業者名,店舗名,事業者種別,郵便番号,住所,電話番号,開始（予定）日,PCR検査,抗原検査,特記事項
29,千葉市若葉区,ウエルシア薬局株式会社,ウエルシア薬局千葉大宮台店,1,264-0015,千葉県千葉市若葉区大宮台１－１－１,043-300-6776,2021-12-24,True,True,"調剤薬局の営業日、営業時間のみ受付可能。2月14日から、ウエルシア薬局のホームページより検査の予約ができるようになります。
https://www.welcia-yakkyoku.co.jp/"
30,千葉市若葉区,ウエルシア薬局株式会社,ウエルシア薬局千葉都賀店,1,264-0025,千葉県千葉市若葉区都賀３－２１－１,043-214-5324,2021-12-24,True,True,"調剤薬局の営業日、営業時間のみ受付可能。2月14日から、ウエルシア薬局のホームページより検査の予約ができるようになります。
https://www.welcia-yakkyoku.co.jp/"
31,千葉市若葉区,ウエルシア薬局株式会社,ウエルシア薬局千葉東寺山コープ店,1,264-0035,千葉県千葉市若葉区東寺山町４２２－１,043-290-1651,2021-12-24,True,True,"調剤薬局の営業日、営業時間のみ受付可能。2月14日から、ウエルシア薬局のホームページより検査の予約ができるようになります。
https://www.welcia-yakkyoku.co.jp/"
32,千葉市若葉区,株式会社千葉薬品,ヤックスドラッグ若松薬局,1,254-0021,千葉市若葉区若松町895,043-304-2775,2022-01-07,True,True,調剤薬局の営業日、営業時間のみ受付可能。
33,千葉市若葉区,株式会社千葉薬品,ヤックスケアタウン千城台薬局,1,254-0004,千葉市若葉区千城台西2-1-3,043-312-0541,2022-01-07,True,True,調剤薬局の営業日、営業時間のみ受付可能。
34,千葉市若葉区,株式会社千葉薬品,ヤックスドラッグ大宮台薬局,1,264-0015,千葉市若葉区大宮台7-3208-6,043-312-8605,2022-01-07,True,True,調剤薬局の営業日、営業時間のみ受付可能。
35,千葉市若葉区,HYUGA PRIMARY CARE株式会社,きらり薬局　若松町店,1,264-0021,千葉県千葉市若葉区若松町545-9,043-309-7446,2022-02-07,False,True,
36,千葉市若葉区,株式会社サンドラッグ,サンドラッグ若松薬局　　　　　,1,264-0021,千葉県千葉市若葉区若松町502-70,043-420-2655,2022-02-07,True,True,"・受検可能な時間帯
　月～金　（ＰＣＲ・抗原）１０：００～１３：００　/（抗原）１５：００～１８：００
　土　　　（抗原）１０：００～１３：００　/（抗原）１５：００～１８：００
　※日曜日・祝日は実施不可。
・ＰＣＲ検査は結果通知が検体採取日の翌々日になることがあります。
・薬局内の密集を回避するため1日当り及び同一時間帯の受検者を制限して実施します。
（状況に応じて当日の時間帯を指定した整理券配布対応とします。）"
37,千葉市若葉区,クオール株式会社　クオール薬局高根町店,クオール薬局高根町店,1,265-0061,千葉県千葉市若葉区高根町964-8,043-228-2941,2022-06-01,False,True,"月～金：１3時～１4時
ご来局前に予めご連絡ください。"
38,千葉市若葉区,クオール株式会社　クオール薬局桜木店,クオール薬局桜木店,1,246-0028,千葉市若葉区桜木3-9-29,043-235-5010,2022-06-01,False,True,"月～金：１４時～１５時
ご来局前に予めご連絡ください。"
39,千葉市若葉区,株式会社ウィーズ,ブレーメン薬局　小倉台店,1,264-0006,千葉県千葉市若葉区小倉台7-2-2,043-235-3441 ,2022-06-11,False,True,ドライブスルー方式にて対応　木、日曜、祝日実施不可
40,千葉市中央区,ウエルシア薬局株式会社,ウエルシア薬局千葉鶴沢店,1,260-0003,千葉県千葉市中央区鶴沢町2-3,043-223-7685,2021-12-24,True,True,"調剤薬局の営業日、営業時間のみ受付可能。2月14日から、ウエルシア薬局のホームページより検査の予約ができるようになります。
https://www.welcia-yakkyoku.co.jp/"
41,千葉市中央区,株式会社千葉薬品,ヤックスドラッグ仁戸名薬局,1,260-0801,千葉市中央区仁戸名町702-1,043-261-7738,2022-01-07,True,True,調剤薬局の営業日、営業時間のみ受付可能。
42,千葉市中央区,株式会社千葉薬品,ヤックスドラッグ椿森薬局,1,260-0042,千葉市中央区椿森6-2-16,043-252-8262,2022-01-07,True,True,調剤薬局の営業日、営業時間のみ受付可能。
43,千葉市中央区,株式会社千葉薬品,ヤックスドラッグ本千葉薬局,1,260-0854,千葉市中央区長洲2-27-4,043-223-6601,2022-01-07,True,True,調剤薬局の営業日、営業時間のみ受付可能。
44,千葉市中央区,日本調剤株式会社,日本調剤 青葉薬局,1,260-0852,千葉県千葉市中央区青葉町955-23,043-226-1730,2022-01-17,True,True,弊社予約サイト（https://www.nicho.co.jp/pharmacy/covid19/pcrtest/free/）より事前申込みの上ご来局ください。基本的に当日の予約はお断りしています。土曜、日曜不可。対応時間：9:30～17:00（曜日によって対応できない時間帯があります）電話でのお問い合わせはご遠慮下さい。検査キットの入荷状況により予約をお断りすることがあります。
45,千葉市中央区,株式会社ツルハ,調剤薬局ツルハドラッグ千葉中央3丁目店,1,260-0013,千葉県千葉市中央区中央3-3-1,043-202-2268,2022-01-20,True,True,
46,千葉市中央区,株式会社ツルハ,調剤薬局ツルハドラッグ蘇我駅前店,1,260-0842,千葉県千葉市中央区南町2-15-19,043-305-1268,2022-01-20,True,True,
47,千葉市中央区,"株式会社PROUMED
医療法人社団　同仁会診療所",くすりの福太郎椿森店,1,260-0042,千葉市中央区椿森4-3-3　ｴｸｾﾙ8　101号室,043-207-8829,2022-01-26,True,True,店舗の営業時間に準ずる
48,千葉市中央区,HYUGA PRIMARY CARE株式会社,きらり薬局　千葉中央店,1,260-0012,千葉県千葉市中央区本町3-1-18,043-307-3275 ,2022-02-07,False,True,
49,千葉市中央区,株式会社アインファーマシーズ,アイン薬局千葉仁戸名店,1,260-0801,千葉県千葉市中央区仁戸名町681,043-209-1910,2022-03-05,False,True,"平日は実施不可。土曜日：9:00～12:00
来局前に電話連絡をお願いします。"
50,千葉市中央区,株式会社富士薬品,ドラッグセイムス千葉富士見薬局,1,260-0015,千葉県千葉市中央区富士見2-5-1　富士見江澤ビル,043-306-1518,2022-03-09,False,True,"電話での予約受付はしておりません
調剤薬局の営業時間のみ受付
受付曜日：月～日
受付時間：9:00～17:00"
51,千葉市中央区,医療法人社団七海会,株式会社グローバルゲイツ千葉検査センター,3,260-0013,千葉県千葉市中央区中央1-11-1,080-9465-7055,2022-03-28,True,True,毎日　15時～17時まで
52,千葉市中央区,医療法人社団クリノヴェイション,東京ビジネスクリニックペリエ千葉エキナカ,3,260-0031,千葉県千葉市中央区新千葉1-1-1ペリエ千葉エキナカ4階,043-215-8111,2022-03-21,False,True,365日休まず9時から21時まで抗原定性検査の実施をしています。詳細は、当院のホームページをご確認ください。
53,千葉市中央区,医療法人社団クリノヴェイション,東京ビジネスクリニックファミリア　ペリエ千葉,3,260-0031,千葉県千葉市中央区新千葉1-1-1ペリエ千葉6階,043-306-8675,2022-03-21,False,True,365日休まず9時から21時まで抗原定性検査の実施をしています。詳細は、当院のホームページをご確認ください。
54,千葉市中央区,株式会社ＨＯＳ,アステル薬局 無料PCR検査センター　千葉市新町,1,260-0028,千葉県千葉市中央区新町22-18,03-6822-0849,2022-03-30,True,True,
55,千葉市中央区,"株式会社PROUMED
医療法人社団　同仁会診療所",くすりの福太郎仁戸名店,1,260-0801,千葉県千葉市中央区仁戸名町698-11,043-312-3729,2022-02-14,True,True,営業時間：店舗の営業時間に準ずる
56,千葉市中央区,クラフト株式会社,さくら薬局　東千葉店,1,272-0035,千葉県千葉市中央区院内1-8-12LAPUTA１階,043-222-5434,2022-04-06,False,True,月・水・木・金・土：14～16時
57,千葉市中央区,一般社団法人厚生会,PCR検査センター千葉,3,260-0045,千葉県千葉市中央区弁天1-12-4,043-310-3245,2022-04-25,False,True,定休日無し
58,千葉市中央区,日本調剤株式会社,日本調剤 千葉駅前薬局,1,260-0028,"千葉県千葉市中央区新町1-19
アイ・エス・ワイ国際ビル",043-301-5061,2022-05-25,False,True,"店舗の営業日、営業時間のみ対応（各店舗の情報は以下の店舗情報よりご確認ください）。https://www.nicho.co.jp/tenpo/
土、日、祝日は対応しておりません。混雑時または検査キットの在庫状況によっては予約をお断りすることがあります。必ず事前に電話予約をした上でご来局ください。"
59,千葉市中央区,日本調剤株式会社,日本調剤 椿森薬局,1,260-0042,千葉県千葉市中央区椿森4-4-4,043-207-5531,2022-05-25,False,True,"店舗の営業日、営業時間のみ対応（各店舗の情報は以下の店舗情報よりご確認ください）。https://www.nicho.co.jp/tenpo/
土、日、祝日は対応しておりません。混雑時または検査キットの在庫状況によっては予約をお断りすることがあります。必ず事前に電話予約をした上でご来局ください。"
60,千葉市中央区,医療法人社団潮新会,千葉PCRセンター,3,260-0021,千葉県千葉市中央区新宿2-5-1 5F,080-4262-3753,2022-05-17,True,False,日曜日を除いて実施予定。
61,千葉市中央区,医療法人社団愛生会,医療法人社団愛生会　ロイヤル歯科医院,3,260-0031,千葉県千葉市中央区新千葉2-5-14　ニュー芳野ビル４F,043-246-8430,2022-05-17,True,True,木曜日実施不可。
62,千葉市中央区,クオール株式会社　クオール薬局東千葉店,クオール薬局東千葉店,1,260-0042,千葉県千葉市中央区椿森6-5-2,043-285-5455,2022-06-01,False,True,"月～金：１４時～１５時
ご来局前に予めご連絡ください。"
63,千葉市中央区,クオール株式会社　クオール薬局まつなみ店,クオール薬局まつなみ店,1,260-0044,千葉県千葉市中央区松波1-4-13,043-287-6115,2022-06-01,False,True,"月～金：１４時～１５時
ご来局前に予めご連絡ください。"
64,千葉市中央区,ルナドクター株式会社,千葉中央駅前PCR検査センター,2,260-0013,千葉県千葉市中央区中央2-2-8秀和ビル地下1階,050-5527-1810,2022-05-27,True,True,年中無休
65,千葉市中央区,株式会社StarSeed,千葉市新型コロナ無料検査場,1,260-0007,"千葉市中央区祐光２丁目１１−１２
SKマンション１１１号室",080-5039-0849,2022-05-31,True,True,定休日なし　10:00～20:00
66,千葉市中央区,株式会社ウィーズ千葉,そが駅前薬局,1,260-0842,千葉市中央区南町2-15-3,043-261-2121,2022-06-11,False,True,日曜日・祝日　実施不可
67,千葉市中央区,健康福祉サービス株式会社,中央薬局,1,260-0001,千葉県千葉市中央区都町2-16-6,043-235-1727,2022-06-11,False,True,
68,千葉市中央区,平石クリニック,平石クリニックPCRセンター,3,260-0013,千葉県千葉市中央区中央3-17-2,080-2675-6789,2022-06-13,True,False,"日曜日休業　　　
営業時間10:00～19:00　"
69,千葉市美浜区,ウエルシア薬局株式会社,ウエルシア薬局イオンタウン幕張西店,1,261-0026,"千葉県千葉市美浜区幕張西４丁目2番12号
イオンタウン幕張西　1階",043-274-0385,2021-12-24,True,True,"調剤薬局の営業日、営業時間のみ受付可能。2月14日から、ウエルシア薬局のホームページより検査の予約ができるようになります。
https://www.welcia-yakkyoku.co.jp/"
70,千葉市美浜区,イオンリテール株式会社,イオン薬局幕張新都心店,1,261-0024,千葉県千葉市美浜区豊砂1-1,043-351-8100,2021-12-29,False,True,"無料検査の実施時間:10時-19時
ＰＣＲ検査は準備出来次第対応予定"
71,千葉市美浜区,株式会社千葉薬品,ヤックスドラッグ磯辺海浜薬局,1,261-0012,千葉市美浜区磯辺3-34-4,043-270-7410,2022-01-07,True,True,調剤薬局の営業日、営業時間のみ受付可能。
72,千葉市美浜区,株式会社千葉薬品,ヤックスドラッグパティオス薬局,1,261-0013,千葉市美浜区打瀬2-5パティオス3番街,043-310-0166,2022-01-07,True,True,調剤薬局の営業日、営業時間のみ受付可能。
73,千葉市美浜区,株式会社千葉薬品,ヤックスドラッグ千葉みなと薬局,1,261-0001,千葉市美浜区幸町1-12-5,043-307-8863,2022-01-07,True,True,調剤薬局の営業日、営業時間のみ受付可能。
74,千葉市美浜区,イントロン株式会社,マリン薬局,1,261-0012,千葉県千葉市美浜区磯辺4-15-3,043-270-7001,2022-01-19,True,True,"月火水木金　9：00～18：30
土　9：00～12：30"
75,千葉市美浜区,HYUGA PRIMARY CARE株式会社,きらり薬局　幸町店,1,261-0001,千葉市美浜区幸町2-23-1マルエツ千葉幸町店２F,043-305-4850,2022-02-07,False,True,
76,千葉市美浜区,株式会社南山堂,南山堂薬局 幕張西店,1,261-0021,千葉県千葉市美浜区幕張西2-7-20,043-273-9900,2022-03-15,True,True,閉局時、検査管理者不在時は実施不可
77,千葉市美浜区,日本調剤株式会社,日本調剤 ベイタウン薬局,1,261-0013,"千葉県千葉市美浜区打瀬3-4
パティオス２０番街",043-274-0826,2022-05-25,False,True,"店舗の営業日、営業時間のみ対応（各店舗の情報は以下の店舗情報よりご確認ください）。https://www.nicho.co.jp/tenpo/
土、日、祝日は対応しておりません。混雑時または検査キットの在庫状況によっては予約をお断りすることがあります。必ず事前に電話予約をした上でご来局ください。"
78,千葉市美浜区,日本調剤株式会社,日本調剤 幕張ベイパーク薬局,1,261-0014,千葉県千葉市美浜区若葉3-1-38,043-441-4151,2022-05-25,False,True,"店舗の営業日、営業時間のみ対応（各店舗の情報は以下の店舗情報よりご確認ください）。https://www.nicho.co.jp/tenpo/
土、日、祝日は対応しておりません。混雑時または検査キットの在庫状況によっては予約をお断りすることがあります。必ず事前に電話予約をした上でご来局ください。"
79,千葉市美浜区,FMF 胎児クリニック東京ベイ幕張,FMF 胎児クリニック東京ベイ幕張,3,261-0021,千葉県千葉市美浜区ひび野2-3 アパホテル＆リゾート東京ベイ幕張47F,050-3200-0647,2022-06-13,False,True,"〇受付不可日時
水・日
〇受付時間
10時～18時（お電話にてご確認ください）
〇受付方法お問合せ先電話番号
050-3200-0647
〇アクセス
アパホテル駐車場を3時間まで無料でご利用いただけます。"
80,千葉市美浜区,株式会社ウィーズ,ダリヤ幕張薬局,1,261-0013,千葉県千葉市美浜区打瀬2-1-2　グランパティオス公園西の街５番館１０１号,043-299-2227,2022-06-11,False,True,日曜日、祝日は実施不可　
81,千葉市美浜区,株式会社ファーマシ―エクスプレス,いなげかいがん薬局,1,261-0004,千葉市美浜区高洲３－１４－８　花澤高洲ビル１Ｆ,043-278-6780,2022-06-11,False,True,日曜日・祝日　実施不可
82,千葉市美浜区,株式会社ファーマシ―エクスプレス,いなげかいがん調剤薬局,1,261-0004,千葉市美浜区高洲 3-14-1 和紅ビル205,043-279-1120,2022-06-11,False,True,日曜日・祝日　実施不可
83,千葉市美浜区,株式会社ファーマシ―エクスプレス,ファルメックス薬局,1,261-0012,千葉市美浜区磯辺 5-9-1,043-441-6101,2022-06-11,False,True,日曜日・祝日　実施不可
84,千葉市緑区,ウエルシア薬局株式会社,ウエルシア薬局千葉土気店,1,267-0067,千葉県千葉市緑区あすみが丘東２－１９－３,043-205-7750,2021-12-24,True,True,"調剤薬局の営業日、営業時間のみ受付可能。2月14日から、ウエルシア薬局のホームページより検査の予約ができるようになります。
https://www.welcia-yakkyoku.co.jp/"
85,千葉市緑区,ウエルシア薬局株式会社,ウエルシア薬局千葉おゆみ野店,1,266-0031,千葉県千葉市緑区おゆみ野３－１,043-300-3027,2021-12-24,True,True,"調剤薬局の営業日、営業時間のみ受付可能。2月14日から、ウエルシア薬局のホームページより検査の予約ができるようになります。
https://www.welcia-yakkyoku.co.jp/"
86,千葉市緑区,ウエルシア薬局株式会社,ウエルシア薬局千葉高津戸店,1,267-0053,千葉県千葉市緑区高津戸町８４番地１２,043-295-1593,2021-12-24,True,True,"調剤薬局の営業日、営業時間のみ受付可能。2月14日から、ウエルシア薬局のホームページより検査の予約ができるようになります。
https://www.welcia-yakkyoku.co.jp/"
87,千葉市緑区,ウエルシア薬局株式会社,ウエルシア薬局千葉誉田店,1,266-0005,千葉県千葉市緑区誉田町２－２４－５４７,043-226-9783,2021-12-24,True,True,"調剤薬局の営業日、営業時間のみ受付可能。2月14日から、ウエルシア薬局のホームページより検査の予約ができるようになります。
https://www.welcia-yakkyoku.co.jp/"
88,千葉市緑区,株式会社千葉薬品,ヤックスドラッグ土気薬局,1,267-0066,千葉市緑区あすみが丘4-19-3,043-205-8881,2022-01-07,True,True,調剤薬局の営業日、営業時間のみ受付可能。
89,千葉市緑区,株式会社千葉薬品,ヤックスドラッグ鎌取薬局,1,266-0011,千葉市緑区鎌取町114-30,043-293-7835,2022-01-07,True,True,調剤薬局の営業日、営業時間のみ受付可能。
90,千葉市緑区,クラフト株式会社,さくら薬局鎌取店,1,266-0007,千葉県千葉市緑区辺田町593-21,043-293-7010,2022-01-18,False,True,10時-12時の間
91,千葉市緑区,株式会社ツルハ,調剤薬局ツルハドラッグ鎌取店,1,266-0031,千葉県千葉市緑区おゆみ野3-40-5,043-292-0636,2022-01-20,True,True,
92,千葉市緑区,株式会社ツルハ,調剤薬局ツルハドラッグおゆみ野南店,1,266-0033,千葉県千葉市緑区おゆみ野南5-7-2,043-291-0157,2022-01-20,True,True,
93,千葉市緑区,HYUGA PRIMARY CARE株式会社,きらり薬局　鎌取店,1,266-0031,千葉県千葉市緑区おゆみ野4-2-7,043-309-7718,2022-02-07,False,True,
94,千葉市緑区,株式会社ウィーズ,サンリツ薬局　古市場店,1,266-0026,千葉県千葉市緑区古市場町102,043-226-7300,2022-06-11,False,True,ドライブスルー方式にて対応　日曜、祝日実施不可
95,銚子市,ウエルシア薬局株式会社,ウエルシア薬局銚子笠上町店,1,288-0004,千葉県銚子市笠上町６８７０番１,0479-24-0322,2021-12-24,True,True,"調剤薬局の営業日、営業時間のみ受付可能。2月14日から、ウエルシア薬局のホームページより検査の予約ができるようになります。
https://www.welcia-yakkyoku.co.jp/"
96,市川市,ウエルシア薬局株式会社,ウエルシア薬局市川国府台店,1,272-0827,千葉県市川市国府台４－７－３,047-374-7037,2021-12-24,True,True,"調剤薬局の営業日、営業時間のみ受付可能。2月14日から、ウエルシア薬局のホームページより検査の予約ができるようになります。
https://www.welcia-yakkyoku.co.jp/"
97,市川市,ウエルシア薬局株式会社,ウエルシア薬局南行徳駅前店,1,272-0143,千葉県市川市相之川４－９－１０,047-300-2721,2021-12-24,True,True,"調剤薬局の営業日、営業時間のみ受付可能。2月14日から、ウエルシア薬局のホームページより検査の予約ができるようになります。
https://www.welcia-yakkyoku.co.jp/"
98,市川市,ウエルシア薬局株式会社,ウエルシア薬局市川東国分店,1,272-0833,千葉県市川市東国分２－１－１,047-374-9965,2021-12-24,True,True,"調剤薬局の営業日、営業時間のみ受付可能。2月14日から、ウエルシア薬局のホームページより検査の予約ができるようになります。
https://www.welcia-yakkyoku.co.jp/"
99,市川市,ウエルシア薬局株式会社,ウエルシア薬局南行徳店,1,272-0138,千葉県市川市南行徳４－３－１７,047-701-1500,2021-12-24,True,True,"調剤薬局の営業日、営業時間のみ受付可能。2月14日から、ウエルシア薬局のホームページより検査の予約ができるようになります。
https://www.welcia-yakkyoku.co.jp/"
100,市川市,ウエルシア薬局株式会社,ウエルシア薬局市川堀之内店,1,272-0837,千葉県市川市堀之内３－２５－９,047-318-5081,2021-12-24,True,True,"調剤薬局の営業日、営業時間のみ受付可能。2月14日から、ウエルシア薬局のホームページより検査の予約ができるようになります。
https://www.welcia-yakkyoku.co.jp/"
101,市川市,ウエルシア薬局株式会社,ウエルシア薬局市川妙典店,1,272-0111,千葉県市川市妙典５－１３－３８,047-701-6062,2021-12-24,True,True,"調剤薬局の営業日、営業時間のみ受付可能。2月14日から、ウエルシア薬局のホームページより検査の予約ができるようになります。
https://www.welcia-yakkyoku.co.jp/"
102,市川市,ルナドクター株式会社,市川・本八幡駅前ＰＣＲ検査センター,2,272-0021,千葉県市川市八幡2-15-17 八幡センタービル１F西側,047-702-5679,2021-12-28,True,False,年中無休。完全整理券制となっています。
103,市川市,イオンリテール株式会社,イオン薬局市川妙典店,1,272-0111,千葉県市川市妙典5-3-1,047-397-9831,2022-01-17,False,True,"ＰＣＲ検査は準備出来次第対応予定
検査時間は10時～19時"
